City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
183,Amudat,UG,67.73,overcast clouds,1.95,34.95,Silent Night Hotel
185,Senador Jose Porfirio,BR,75.58,scattered clouds,-2.5908,-51.9542,Pousada Novo Horizonte
187,Abnub,EG,74.21,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
193,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
194,Ambilobe,MG,71.01,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
195,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Pirineos
197,Nieuw Amsterdam,SR,79.14,few clouds,5.8833,-55.0833,Hotel Stardust
199,Namibe,AO,72.03,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
200,Inongo,CD,70.47,overcast clouds,-1.95,18.2667,Hotel Du Lac
206,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
211,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
213,Laguna,US,73.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
216,Angra Dos Reis,BR,70.2,few clouds,-23.0067,-44.3181,Mercure Angra dos Reis
219,Westport,US,66.27,broken clouds,41.1415,-73.3579,The Westport Inn
224,Ouadda,CF,71.53,overcast clouds,8.0777,22.4007,
225,Awjilah,LY,71.89,light rain,29.1081,21.2869,المنزل
227,Port Shepstone,ZA,66.02,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
230,Victoria,HK,78.24,light rain,22.2855,114.1577,Mini Central
231,Grand Gaube,MU,74.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
233,Manacapuru,BR,79.86,broken clouds,-3.2997,-60.6206,Novo Hotel
238,Asyut,EG,73.58,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
241,Calamar,CO,77.41,overcast clouds,10.2511,-74.9146,Hostal Katyalex
252,Faya,SA,66.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
253,Acarau,BR,76.75,broken clouds,-2.8856,-40.12,castelo pizzaria
255,Dalbandin,PK,79.5,clear sky,28.8947,64.4101,Sanjrani House
